original,new
http://fieldnotes.makingandknowing.org/mainSpace/Rosenkranz%20-%20Lab%203%20-%20Metadata%20SP17.html,http://fieldnotes.makingandknowing.org/main/Spring-2017-Digital/Field-Notes/Example-DH/Lab-3_Metadata.html
http://fieldnotes.makingandknowing.org/mainSpace/Fall%202016%20Archive.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Field%20Notes%20-%20Fall%202016.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Sau-yi-Fong/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Fong%20-%20HCR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Sau-yi-Fong/Historical-Culinary-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Molding.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Sau-yi-Fong/Bread-Molding.html
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Verdigris%20FA%2016.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Sau-yi-Fong/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Annotation%20Plans%20FA%2016.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Sau-yi-Fong/Annotation-Plans.html
http://fieldnotes.makingandknowing.org/mainSpace/Sau-yi%20Fong%20-%20Madder%20Lake%20Making%20FA%2016.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Sau-yi-Fong/Madder-Lake-Making.html
http://fieldnotes.makingandknowing.org/mainSpace/Fong%20-%20Annotation%20Buckram%20Sausage%20FA%2016.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Sau-yi-Fong/Fong_Annotation-Field-Notes-for-Buckram-Sausage-FA16-.html
http://fieldnotes.makingandknowing.org/mainSpace/Joslyn%20DeVinney%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Joslyn-DeVinney/index.html
http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20HCR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Joslyn-DeVinney/Historical-Culinary-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/DeVinney-BMR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Joslyn-DeVinney/Bread-Molding-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20Verdigris%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Joslyn-DeVinney/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20Annotation%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Joslyn-DeVinney/Annotation-Plans.html
http://fieldnotes.makingandknowing.org/mainSpace/DeVinney%20-%20Madder%20Lake%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Joslyn-DeVinney/Madder-Lake-Making.html
http://fieldnotes.makingandknowing.org/mainSpace/Ana%20Matisse%20Donefer-Hickie%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Ana-Matisse-Donefer-Hickie/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20HCR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Ana-Matisse-Donefer-Hickie/Historical-Culinary-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20BM%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Ana-Matisse-Donefer-Hickie/Bread-Molding.html
http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20V%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Ana-Matisse-Donefer-Hickie/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20AP%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Ana-Matisse-Donefer-Hickie/Annotation-Plan.html
http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20A%20-%20ForCagesFA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Ana-Matisse-Donefer-Hickie/Annotation.html
http://fieldnotes.makingandknowing.org/mainSpace/Donefer-Hickie%20-%20MD%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Ana-Matisse-Donefer-Hickie/Madder-Dye.html
http://fieldnotes.makingandknowing.org/mainSpace/Benjamin%20Hiebert%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Benjamin-Hiebert/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Hiebert%20-%20HCR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Benjamin-Hiebert/Historical-Culinary-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Molding%20Reconstruction-Ben%20Hiebert%20and%20Sau-Yi%20Fong.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Benjamin-Hiebert/Bread-Molding-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Verdigris%20-%20Ben%20Hiebert%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Benjamin-Hiebert/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/Hiebert%20-%20Annotation%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Benjamin-Hiebert/Hiebert_Annotation-Field-Notes-+quotSpinet-playing-by-itself+quot-FA16.html
http://fieldnotes.makingandknowing.org/mainSpace/Madder%20lake%20pigment.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Benjamin-Hiebert/Madder-Lake-Pigment.html
http://fieldnotes.makingandknowing.org/mainSpace/Charles%20Kang%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Changduk-(Charles)-Kang/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Kang%20HCR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Changduk-(Charles)-Kang/Historical-Culinary-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Molding%20Reconstruction%20FA16%20Lores-Chavez%20%26%20Kang.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Changduk-(Charles)-Kang/Bread-Molding-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Kang%20-%20Verdigris%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Changduk-(Charles)-Kang/Verdigris.html
http://fieldnotes.makingandknowing.org/mainSpace/Kang%20%26%20Lores-Chavez%20Annotation%20Plans.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Changduk-(Charles)-Kang/Black-Sulfured-Wax_Annotation-Plan-Draft-I.html
http://fieldnotes.makingandknowing.org/mainSpace/Kang%20%26%20Lores-Chavez%20-%20Black%20Sulfur%20Wax%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Changduk-(Charles)-Kang/Black-Sulfured-Wax_Annotation-Plan-Draft-II.html
http://fieldnotes.makingandknowing.org/mainSpace/Kang%20-%20Red%20%28Madder%29%20Lake.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Changduk-(Charles)-Kang/Red-(Madder)-Lake.html
http://fieldnotes.makingandknowing.org/mainSpace/Kang%20%26%20Lores-Chavez%20-%20Annotation%20Field%20Notes%20Black%20Sulfured%20Wax%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Changduk-(Charles)-Kang/Black-Sulfured-Wax_Field-notes.html
http://fieldnotes.makingandknowing.org/mainSpace/Emma%20Le%20Pouesard%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Emma-Le-Pouesard/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Le%20Pouesard%20-%20Historical%20Culinary%20Reconstruction%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Emma-Le-Pouesard/Historical-Culinary-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Bread%20Mold%20Reconstruction.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Emma-Le-Pouesard/Bread-mold-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Verdigris%20Painting%20Out.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Emma-Le-Pouesard/Verdigris-Painting-Out.html
http://fieldnotes.makingandknowing.org/mainSpace/Annotations%20Plan.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Emma-Le-Pouesard/Annotations-Plan.html
http://fieldnotes.makingandknowing.org/mainSpace/Madder%20for%20Lake.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Emma-Le-Pouesard/Madder-for-Lake.html
http://fieldnotes.makingandknowing.org/mainSpace/Isabella%20Lores-Chavez%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Isabella-Lores-Chavez/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Caitlyn%20Sellar%20-%20Field%20Notes%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Caitlyn-Sellar/index.html
http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20HCR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Caitlyn-Sellar/Historical-Culinary-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20BMR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Caitlyn-Sellar/Bread-Molding-Reconstruction.html
http://fieldnotes.makingandknowing.org/mainSpace/Sellar%20-%20VR%20FA16.html,http://fieldnotes.makingandknowing.org/main/Fall-2016/Field-Notes/Caitlyn-Sellar/Verdigris.html
