folio,text in tag,before,after
tl_p017v_preTEI,thickness ofhalf a ball,"['side', 'of', 'the', 'opening', 'of', 'the', 'breech', 'they', 'give', 'the']","['And', 'then', 'they', 'also', 'add', 'on', 'each', 'side', 'the', 'third']"
tl_p017v_preTEI,third partof a ball,"['ball', 'And', 'then', 'they', 'also', 'add', 'on', 'each', 'side', 'the']",[]
tl_p017v_preTEI,ladles,"['Ain', 'One', 'gives', 'it', 'two']","['of', 'cannon', 'powder', 'for', 'its', 'charge', '&', 'one', '&', 'a']"
tl_p017v_preTEI,one & a half of,"['it', 'two', 'ladles', 'of', 'cannon', 'powder', 'for', 'its', 'charge', '&']","['arquebus', 'powder', '&', 'the', 'same', 'for', 'the', 'others']"
tl_p017v_preTEI,one quintal of,"['#', 'The', 'composition', 'of', 'cannons', 'of', 'France', 'is', 'of']","['metal', 'for', 'two', 'of', 'rosette', 'But', 'those', 'of', 'Toulouse', '&']"
tl_p017v_preTEI,as muchof one as of the other,"['Old', 'pieces', 'are', 'composed', 'of', 'almost', 'de', 'dem']","['namely', 'one', 'part', 'of', 'rosette', '&', 'one', 'of', 'metal', 'One']"
tl_p017v_preTEI,part,"['as', 'much', 'of', 'one', 'as', 'of', 'the', 'other', 'namely', 'one']","['of', 'rosette', '&', 'one', 'of', 'metal', 'One', 'recognizes', 'this', 'composition']"
tl_p018r_preTEI,quintals,"['Large', 'culverins', 'are', 'for', 'battery', '&', 'piercing', 'are', 'forty']","['&', 'eighteen', 'pans', 'long', 'Their', 'ball', 'of', 'the', 'King', 's']"
tl_p018r_preTEI,lb,"['of', 'the', 'King', 's', 'caliber', '&', 'for', 'battery', 'is', '30']","['and', 'thus', 'lighter', 'than', 'that', 'of', 'the', 'cannon', 'And', 'thus']"
tl_p018r_preTEI,lb,"['thus', 'it', 'does', 'not', 'carry', 'so', 'much', 'ammunition', 'for', 'fifteen']","['suffices', 'for', 'its', 'charge', 'The', 'cannon', 'makes', 'a', 'bigger', 'opening']"
tl_p018r_preTEI,thickness of two of its balls & ,"['due', 'to', 'its', 'length', 'At', 'the', 'breech', 'it', 'carries', 'the']","['esthe', 'three', 'third', 'parts', 'of', 'a', 'ball', 'at', 'the', 'front']"
tl_p018r_preTEI,thickness of one ball & two thirds,"['three', 'third', 'parts', 'of', 'a', 'ball', 'at', 'the', 'front', 'the']","['Culverins', 'serve', 'to', 'batter', 'defenses', 'from', 'afar', 'when', 'one', 'cannot']"
tl_p018r_preTEI,quintals,"['in', 'order', 'that', 'the', 'melt', 'runs', 'better', 'And', 'for', 'two']","['of', 'rosette', 'one', 'adds', 'six', 'twenties', 'lb', 'of', 'metal', 'for']"
tl_p018r_preTEI,lb,"['And', 'for', 'two', 'quintals', 'of', 'rosette', 'one', 'adds', 'six', 'twenties']","['of', 'metal', 'for', 'the', 'smaller', 'pieces', 'They', 'shoot', '8', 'or']"
tl_p018r_preTEI,paces,"['for', 'the', 'smaller', 'pieces', 'They', 'shoot', '8', 'or', '9', 'hundred']","['at', 'point-blank', '&', 'up', 'to', 'a', 'thousand', 'paces', 'if', 'the']"
tl_p018r_preTEI,paces,"['9', 'hundred', 'paces', 'at', 'point-blank', '&', 'up', 'to', 'a', 'thousand']","['if', 'the', 'powder', 'is', 'strong', '&', 'half', 'a', 'league', 'at']"
tl_p018r_preTEI,league,"['thousand', 'paces', 'if', 'the', 'powder', 'is', 'strong', '&', 'half', 'a']","['at', 'range']"
tl_p018r_preTEI,quintal,"['The', 'bastarde', 'which', 'is', 'a', 'culverin', 'middle-sized', 'piece', 'weighs', 'thirty']","['s', 'and', 'its', 'ball', 'weighs', 'xx', 'lb', 'xv', 'lb', 'and']"
tl_p018r_preTEI,lb,"['middle-sized', 'piece', 'weighs', 'thirty', 'quintals', 'and', 'its', 'ball', 'weighs', 'xx']","['xv', 'lb', 'and', 'carries', 'as', 'its', 'charge', 'x', 'or', 'xii']"
tl_p018r_preTEI,lb,"['weighs', 'thirty', 'quintals', 'and', 'its', 'ball', 'weighs', 'xx', 'lb', 'xv']","['and', 'carries', 'as', 'its', 'charge', 'x', 'or', 'xii', 'lb', 'of']"
tl_p018r_preTEI,lb,"['xv', 'lb', 'and', 'carries', 'as', 'its', 'charge', 'x', 'or', 'xii']","['of', 'powder', 'Its', 'proportion', 'is', 'at', 'the', 'breech', 'the', 'thickness']"
tl_p018r_preTEI,thickness of two of its balls & the,"['xv', 'lb', 'and', 'carries', 'as', 'its', 'charge', 'x', 'or', 'xii']","['of', 'powder', 'Its', 'proportion', 'is', 'at', 'the', 'breech', 'the', 'thickness']"
tl_p018r_preTEI,thickness of a ball & two of three parts,"['thees', 'threeird', 'parts', 'of', 'a', 'ball', 'At', 'the', 'front', 'the']","['or', 'They', 'serve', 'to', 'batter', 'defences', 'of', 'little', 'importance', 'such']"
tl_p018r_preTEI,thickness of three balls at the breech & at thefront of two balls,"['Some', 'give', 'it', 'the']",[]
tl_p018r_preTEI,quintal,"['The', 'bastard', 'culverin', 'weighs', '35']","['s', '&', 'is', 'xxv', 'pans', 'long', 'It', 'carries', 'three', 'balls']"
tl_p018r_preTEI,three balls at the breech &two in front,"['weighs', '35', 'quintals', '&', 'is', 'xxv', 'pans', 'long', 'It', 'carries']","['Its', 'ball', 'is', 'like', 'that', 'of', 'the', 'bastarde', 'piece', 'weighing']"
tl_p018r_preTEI,lb,"['ball', 'is', 'like', 'that', 'of', 'the', 'bastarde', 'piece', 'weighing', 'xv']","['These', 'are', 'pleasure', 'pieces', 'which', 's', 'cannot', 'be', 'moved', 'by']"
tl_p018r_preTEI,balls,"['35', 'quintals', '&', 'is', 'xxv', 'pans', 'long', 'It', 'carries', 'three']","['at', 'the', 'breech', '&', 'two', 'in', 'front', 'Its', 'ball', 'is']"
tl_p018r_preTEI,league,"['of', 'three', 'balls', 'At', 'range', 'they', 'can', 'shoot', 'around', 'one']","['&', 'a', 'half', 'league', 'at', 'point-blank', 'Its', 'charge', 'is', 'like']"
tl_p018r_preTEI,a half league,"['balls', 'At', 'range', 'they', 'can', 'shoot', 'around', 'one', 'league', '&']","['at', 'point-blank', 'Its', 'charge', 'is', 'like', 'the', 'bastarde', 'And', 'if']"
tl_p018v_preTEI,quintals,"['The', 'average', 'weighs', '18']","['&', 'measures', 'xii', 'pans', 'long', 'Its', 'ball', 'weighs', 'eight', 'or']"
tl_p018v_preTEI,lb,"['measures', 'xii', 'pans', 'long', 'Its', 'ball', 'weighs', 'eight', 'or', '9']","['&', 'its', 'charge', 'is', 'six', 'pounds', 'of', 'powder', 'And', 'for']"
tl_p018v_preTEI,pounds,"['weighs', 'eight', 'or', '9', 'lb', '&', 'its', 'charge', 'is', 'six']","['of', 'powder', 'And', 'for', 'At', 'the', 'breech', 'it', 'carries', 'a']"
tl_p018v_preTEI,thickness of three balls,"['of', 'powder', 'And', 'for', 'At', 'the', 'breech', 'it', 'carries', 'a']","['&', 'in', 'front', 'two', 'It', 'is', 'more', 'appropriate', 'for', 'the']"
tl_p018v_preTEI,paces,"['horses', 'can', 'draw', 'it', 'It', 'shoots', 'eight', 'or', 'nine', 'hundred']","['at', 'point-blank', '&', 'almost', 'as', 'much', 'as', 'the', 'bastarde']"
tl_p018v_preTEI,diameter of a ball & a half,"['large', 'pieces', 'one', 'givesn', 'as', 'much', 'powder', 'as', 'is', 'the']","['at', 'which', 'point', 'the', 'escutcheon', 'sits', 'To', 'medium', 'pieces', 'such']"
tl_p018v_preTEI,escutcheon,"['of', 'a', 'ball', '&', 'a', 'half', 'at', 'which', 'point', 'the']","['sits', 'To', 'medium', 'pieces', 'such', 'as', 'field', 'pieces', '&', 'smaller']"
tl_p018v_preTEI,thickness of two balls,"['field', 'pieces', '&', 'smaller', 'ones', 'one', 'gives', 'them', 'powder', 'the']","['To', 'the', 'passe-volant', '&', 'other', 'smaller', 'ones', 'one', 'gives', 'them']"
