folio,text in tag,before,after
tc_p048r_preTEI,sepmaine,"['parmy', 'leur', 'viande', 'Et', 'leur', 'en', 'ayant', 'donne', 'une', 'une']","['Donne', 'leur', 'en', 'un', 'aultre', 'sept', 'ou', 'huict', 'jours', 'apres']"
tc_p048r_preTEI,jours,"['une', 'sepmaine', 'Donne', 'leur', 'en', 'un', 'aultre', 'sept', 'ou', 'huict']",['apres']
tc_p048v_preTEI,long temps,"['Ilz', 'sesgrissent', 'estant', 'souvent', 'ou']","['remis', 'a', 'fondre', 'et', 'sespessissent', 'et', 'se', 'bruslent', 'De', 'sorte']"
tc_p049v_preTEI,devant la ,"['plaisir', 'de', 'leur', 'ramage', 'Mays', 'il', 'fault', 'quilz', 'soient', 'pris']","['sainct', 'Michel', 'Aultrement', 'ilz', 'ne', 'vivent', 'gueres', 'Il', 'leur', 'vient']"
tc_p049v_preTEI,a la,"['Ceulx', 'qui', 'peuvent', 'sont', 'pris']","['sainct', 'Michel', 'sont', 'bons', 'pour', 'garder', 'Mays', 'ceulx', 'qui', 'sont']"
tc_p049v_preTEI,Mars,"['sont', 'bons', 'pour', 'garder', 'Mays', 'ceulx', 'qui', 'sont', 'pris', 'en']","['se', 'meurent', 'pourcequilz', 'commancent', 'dentrer', 'en', 'amour', 'Les', 'benarris', 'se']"
tc_p049v_preTEI,tout leste,"['pourcequilz', 'commancent', 'dentrer', 'en', 'amour', 'Les', 'benarris', 'se', 'nourrissent', 'davoyne']","['affin', 'quilz', 'se', 'nourrissent', 'sans', 'sengresser', 'pour', 'estre', 'plus', 'propres']"
tc_p049v_preTEI,lanuict,"['engraisser', 'pour', 'vendre', 'on', 'leur', 'donne', 'du', 'mil', 'Ils', 'chantent']","['Il', 'les', 'fault', 'c', 'prendre', 'apres', 'la', 'my', 'Juillet', 'jusques']"
tc_p049v_preTEI,apres la my Juillet jusques ala ,"['mil', 'Ils', 'chantent', 'la', 'nuict', 'Il', 'les', 'fault', 'c', 'prendre']","['sainct', 'Michel', 'Car', 'apres', 'ce', 'temps', 'la', 'quilz', 'ont', 'faict']"
tc_p049v_preTEI,despuys la toussaints jusques a Noël,"['comme', 'font', 'les', 'tourterelles', 'Les', 'tarins', 'aussy', 'se', 'doibvent', 'prendre']","['Car', 'apres', 'ilz', 'sent', 'vont', 'aulx', 'montaignes', 'cover']"
tc_p050r_preTEI,espace de deuxheures,"['fruit', 'que', 'vous', 'voules', 'Mectes', 'dedans', 'de', 'leau', 'chaulde', 'l']","['Et', 'quand', 'leau', 'sera', 'refroidie', 'jectes', 'la', '&', 'la', 'tournes']"
tc_p050r_preTEI,en jour chault & sec,"['avecq', 'la', 'main', 'le', 'fruict', 'sans', 'quil', 'soit', 'corrompu', '&']","['Retires', 'vous', 'dans', 'la', 'chambre', 'bi', 'en', 'close', 'ou', 'il']"
tc_p050r_preTEI,leste,"['point', 'Puys', 'mectes', 'vos', 'bouteilles', 'dans', 'une', 'pone', 'pleine', 'deau']","['Et', 'lhiver', 'pourceque', 'la', 'cave', 's', 'dans', 'une', 'cave', 'Et']"
tc_p050r_preTEI,lhiver,"['mectes', 'vos', 'bouteilles', 'dans', 'une', 'pone', 'pleine', 'deau', 'leste', 'Et']","['pourceque', 'la', 'cave', 's', 'dans', 'une', 'cave', 'Et', 'lhiver', 'mectes']"
tc_p050r_preTEI,lhiver,"['Et', 'lhiver', 'pourceque', 'la', 'cave', 's', 'dans', 'une', 'cave', 'Et']","['mectes', 'vos', 'bouteilles', 'dans', 'un', 'panier', 'garny', 'de', 'quelque', 'poix']"
tc_p050v_preTEI,la nuict,"['Les', 'benarris', 'chantent']","['si', 'on', 'les', 'laisse', 'au', 'serain', 'mays', 'ilz', 'sont', 'meilleurs']"
tc_p050v_preTEI,comma,"['a', 'venir', 'aveugles', '&', 'les', 'yeulx', 'leur', 'viennent', 'enfles', 'au']","['ncement', 'daougst', 'Les', 'chardonnerets', 'ayment', 'fort', 'la', 'graine', 'de', 'lettue']"
tc_p050v_preTEI,une fois,"['solitaire', 'se', 'purge', 'avecq', 'une', 'iraigne', 'quil', 'luy', 'fault', 'donner']","['la', 'sepmaine', 'affin', 'quelle', 'ne', 'vienne', 'poinct', 'de', 'gaillardisse', 'La']"
tc_p050v_preTEI,a divers jours,"['fort', 'simple', 'Jen', 'ay', 'aultrefois', 'donne', 'conge', 'a', 'deulx', 'qui']","['revindrent', 'se', 'rendre', 'a', 'leur', 'cage', 'Pour', 'nourrir', 'les', 'petits']"
tc_p051r_preTEI,bonnes heures,"['bonne', 'lessive', 'bien', 'consumee', 'a', 'la', 'buee', 'quattre', 'ou', 'cinq']","['puys', 'fais', 'ton', 'ancre', 'avecq', 'huile', 'de', 'lin', '&', 'non']"
tc_p051v_preTEI,long,"['qui', 'est', 'different', 'de', 'celuy', 'des', 'imprimeurs', 'Il', 'fault', 'faire']","['temps', 'bouillir', 'de', 'lhuile', 'de', 'noix', 'ou', 'pour', 'mieulx', 'de']"
tc_p051v_preTEI,long temps,"['qui', 'est', 'different', 'de', 'celuy', 'des', 'imprimeurs', 'Il', 'fault', 'faire']","['bouillir', 'de', 'lhuile', 'de', 'noix', 'ou', 'pour', 'mieulx', 'de', 'lhuile']"
tc_p052r_preTEI,vers,"['la', 'capacite', 'dune', 'buye', 'ou', 'broc', 'de', 'terre', 'Mects', 'dedans']","['la', 'Sainct', 'Jehan', 'une', 'douzaine', '&', 'demye', 'doeufs', 'de', 'poule']"
tc_p052r_preTEI,ordinairem,"['demeure', 'quun', 'Quand', 'ainsy', 'est', 'il', 'te', 'le', 'fauldra', 'apaster']","['ent', 'par', 'intervalle', 'de', 'jour', '&', 'de', 'nuit', 'par', 'le']"
tc_p052r_preTEI,heure,"['ne', 'luy', 'manque', 'pas', '(aulcuns', 'dissent', 'un', 'jaulne', 'doeuf', 'pour']","['aultres', 'trois', 'Mays', 'la', 'chose', 'mesmes', 'demonstrera', 'la', 'practique', 'En']"
tc_p052r_preTEI,moys,"['En', 'ceste', 'sorte', 'nourry', 'il', 'fera', 'son', 'croist', 'en', 'deulx']","['ou', 'sept', 'sepmaines', '&', 'viendra', 'comme', 'un', 'serpent', 'long', 'dun']"
tc_p052r_preTEI,sepmaines,"['nourry', 'il', 'fera', 'son', 'croist', 'en', 'deulx', 'moys', 'ou', 'sept']","['&', 'viendra', 'comme', 'un', 'serpent', 'long', 'dun', 'empan', '&', '4']"
tc_p052v_preTEI,moys,"['miel', '&', 'vinaigre', 'Le', 'terme', 'de', 'loeuvre', 'est', 'de', 'noeuf']","['despuys', 'la', 'sainct', 'Jehan', 'jusques', 'au', '25', 'dapvril']"
tc_p052v_preTEI,despuys la,"['&', 'vinaigre', 'Le', 'terme', 'de', 'loeuvre', 'est', 'de', 'noeuf', 'moys']","['sainct', 'Jehan', 'jusques', 'au', '25', 'dapvril']"
