,file-name,full-html,GD-link-status,GD-link-status
Olson-Annotation_Field_Notes_FA18-f,Olson-Annotation_Field_Notes_FA18-f._42r_Wax_for_Seal_and_Imprint.html,http://fieldnotes.makingandknowing.org/2018-Fall/Olson-AnnotationFieldNotes-FA18-f.42r-WaxforSealandImprint/OlsonAnnotationFieldNotesFA18f.42rWaxforSeala.html,,
Olson-Bread_Molding_Reconstruction_Field_Notes_FA18,Olson-Bread_Molding_Reconstruction_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Olson-Bread_Molding_Reconstruction_Field_Notes_FA18/Olson-Bread_Molding_Reconstruction_Field_Notes_FA18.html,,
Olson-Printmaking_Techniques_Field_Notes,Olson-Printmaking_Techniques_Field_Notes.html,http://fieldnotes.makingandknowing.org/2018-Fall/Olson-Printmaking_Techniques_Field_Notes/Olson-Printmaking_Techniques_Field_Notes.html,,
Olson-Verdigris_Field_Notes_FA18,Olson-Verdigris_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Olson-Verdigris_Field_Notes_FA18/Olson-Verdigris_Field_Notes_FA18.html,,
Rosenkranz-Verdigris_EXAMPLE_Field_Notes_FA18,Rosenkranz-Verdigris_EXAMPLE_Field_Notes_FA18.html,http://fieldnotes.makingandknowing.org/2018-Fall/Rosenkranz-Verdigris_EXAMPLE_Field_Notes_FA18/Rosenkranz-Verdigris_EXAMPLE_Field_Notes_FA18.html,,
Lim-Annotation_Field_Notes_FA18-Breadmolding-,LimAnnotation_Plans_FA18experimentstoconduct,http://fieldnotes.makingandknowing.org/2018-Fall/Lim-Annotation_Field_Notes_FA18-Breadmolding-/LimAnnotation_Plans_FA18experimentstoconduct.html,added and DONE,11/22/19
Min-Lim-Safety-Protocol-FA18,MinLimSafetyProtocol,http://fieldnotes.makingandknowing.org/2018-Fall/Min-Lim-Safety-Protocol-FA18/MinLimSafetyProtocol.html,added and DONE,11/22/19
Assis-Bread_Molding_Field_Notes,Fieldnotes-FA18-UllmanJohnEvelynBreadRecipesTranscription,http://fieldnotes.makingandknowing.org/2018-Fall/Assis-Bread_Molding_Field_Notes/Fieldnotes-FA18-UllmanJohnEvelynBreadRecipesTranscription.html,added and DONE,11/22/19
FA16-Lores-ChavezKang_ImitatingRawNature_AppendixI-MsFr640-Imitation-Terms,FA16-Lores-ChavezKang_ImitatingRawNature_AppendixI-MsFr640-Imitation-Terms,http://fieldnotes.makingandknowing.org/pre-2018-Fall/FA16LoresChavezKang_ImitatingRawNature_Append.html,DONE,11/22/19
Elizondo_Stucco-Field-Notes-SP19,Elizondo_Stucco-Field-Notes-SP19,http://fieldnotes.makingandknowing.org/pre-2018-Fall/Elizondo_Stucco-Field-Notes-SP19/Elizondo_StuccoFieldNotesSP19.html,,
FA18_FieldNotes_BergenTextComparisonTableFull,FA18_FieldNotes_BergenTextComparisonTableFull,http://fieldnotes.makingandknowing.org/2018-Fall/Bergen-Annotation_Workflow_FA18/FA18_FieldNotes_BergenTextComparisonTableFull.html,,
See gd doc https://docs.google.com/document/d/1KMV5sV-cxYuTlcalNGF5hBnM4Nho52_0_EREBARK8bk/edit?usp=sharing,SP18_UchaczRosenkranz_varnishesintherain,http://fieldnotes.makingandknowing.org/2018-Fall/SP18-uchaczRosenkranz-varnishes/SP18_UchaczRosenkranz_varnishesintherain_fiel.html,,
See gd doc https://docs.google.com/document/d/1mVJCEhvm_orkvu19K2DHGAQ1Z64fbaKTAw5KQXeQqGg/edit?usp=sharing,RISD-MKRubyMakingCollaborativeFieldNotes2016-11-01to2016-11-03,http://fieldnotes.makingandknowing.org/pre-2018-Fall/RISD-MKRubyMakingCollaborativeFieldNotes2016-11-01to2016-11-03/RISDMKRubyMakingCollaborativeFieldNotes201611.html,,
See gd doc https://docs.google.com/document/d/1LXKvMV1f19DybuJe0TBAB7rD8fGf-BpPofrdbQ95BsA/edit?usp=sharing,SP15_PopeandMarrisFieldNotespowderforhourglasses,http://fieldnotes.makingandknowing.org/pre-2018-Fall/SP15_PopeandMarrisFieldNotespowderforhourglasses.html,,
See gd doc https://docs.google.com/document/d/17RyHHUfYENmrZ0QkMpiM_NZyZUvV3civ2y6cz-dquhs/edit?usp=sharing,SP15_MarrisandPopeFieldNotesVarnishforLutes,http://fieldnotes.makingandknowing.org/pre-2018-Fall/SP15_MarrisandPopeFieldNotesVarnishforLutes.html,,
,GNS_FieldNotesSP16-ExperimentalProtocols.html,http://fieldnotes.makingandknowing.org/pre-2018-Fall/GNS_FieldNotesSP16-ExperimentalProtocols.html,,
